id,name,brand,category,subcategory,image,description,material,compatibility,warranty,variants,price,discount_price,stock
prestige-glory-handi,Prestige Glory Stainless Steel Handi,Prestige,Cookware & Bakeware,Handi,/assets/pot_1.png,"High-performance cooking with even heat distribution and long-lasting durability, perfect for traditional Indian slow-cooking.",High-Grade Stainless Steel,Induction & Gas Top,2 Years,"2L:1465|3.5L:1865|5L:2250",1465,0,16
hawkins-pressure-cooker,Hawkins Classic Pressure Cooker,Hawkins,Cookware & Bakeware,Pressure Cookers,/assets/pot_2.png,"The iconic Hawkins pressure cooker — trusted by millions of Indian households for fast, energy-efficient cooking.",Virgin Aluminium,Gas Top,5 Years,"3L:2100|5L:2800",2100,1890,19
prestige-omega-kadai,Prestige Omega Select Plus Kadai,Prestige,Cookware & Bakeware,Non-stick Cookware,/assets/pot_3.png,"Non-stick kadai with superior Omega coating for healthy, oil-free cooking.",Aluminium with Non-Stick Coating,Induction & Gas Top,2 Years,"Small:1350|Large:1850",1350,1148,16
butterfly-gandhimathi-grinder,Butterfly Gandhimathi Mixer Grinder,Butterfly,Small Appliances,Mixer Grinders,/assets/pot_4.png,Powerful 750W mixer grinder with 3 stainless steel jars for all your grinding needs.,ABS Body / Stainless Steel Jars,Electric — 230V,2 Years,"750W:3500",3500,0,4
prestige-svachh-cooker,Prestige Svachh Pressure Cooker,Prestige,Cookware & Bakeware,Pressure Cookers,/assets/pot_5.png,"India's first spillage-control pressure cooker with a unique deep lid that prevents messy spills.",Hard Anodised Aluminium,Gas Top,5 Years,"3L:2450|5L:3200",2450,0,13
hawkins-triply-tawa,Hawkins Triply Stainless Steel Tawa,Hawkins,Cookware & Bakeware,Traditional Utensils,/assets/pot_6.png,"Tri-ply construction with aluminium core for even heating — ideal for rotis and dosas.",Tri-Ply Stainless Steel,Induction & Gas Top,3 Years,"26cm:1800|30cm:2100",1800,1584,9
pigeon-ceramic-casserole,Pigeon Ceramic Casserole Set,Pigeon,Dinnerware & Serving,Serving Bowls,/assets/pot_7.png,Elegant ceramic casserole set with insulated body to keep food warm for hours.,Food-Grade Ceramic,Serving Only,1 Year,"3-Piece Set:1250",1250,0,15
prestige-induction-cooktop,Prestige PIC 20.0 Induction Cooktop,Prestige,Small Appliances,Induction Cooktops,/assets/pot_1.png,"1200W induction cooktop with automatic voltage regulator and Indian menu presets.",Crystalline Glass Top,Electric — 230V,1 Year,"1200W:2400|1600W:3200",2400,2160,7
hawkins-futura-frypan,Hawkins Futura Non-Stick Fry Pan,Hawkins,Cookware & Bakeware,Non-stick Cookware,/assets/pot_2.png,"Hard anodised non-stick fry pan with?"4mm thick base for superior heat retention.",Hard Anodised Aluminium,Gas Top,2 Years,"22cm:1150|26cm:1450",1150,0,11
butterfly-rapid-kettle,Butterfly Rapid Electric Kettle,Butterfly,Small Appliances,Electric Kettles,/assets/pot_4.png,"1.5L stainless steel electric kettle with auto shut-off and boil-dry protection.",Stainless Steel,Electric — 230V,1 Year,"1.5L:850|1.8L:1050",850,765,20
pigeon-favourite-cooker,Pigeon Favourite Outer Lid Pressure Cooker,Pigeon,Cookware & Bakeware,Pressure Cookers,/assets/pot_7.png,"Affordable and reliable pressure cooker with precision weight valve for safe cooking.",Aluminium,Gas Top,5 Years,"3L:899|5L:1299",899,0,25
prestige-hard-anodised-kadai,Prestige Hard Anodised Kadai with Lid,Prestige,Cookware & Bakeware,Non-stick Cookware,/assets/pot_3.png,"Deep kadai with hard anodised exterior and non-stick interior — perfect for deep frying and curries.",Hard Anodised Aluminium,Gas Top,2 Years,"2.6L:1750|3.6L:2200",1750,1488,8
hawkins-contura-cooker,Hawkins Contura Black Pressure Cooker,Hawkins,Cookware & Bakeware,Pressure Cookers,/assets/pot_5.png,"Curved body design that prevents tilting — Hawkins' safest pressure cooker line.",Hard Anodised Aluminium,Gas Top,5 Years,"3L:2650|5L:3450",2650,2385,6
butterfly-spectra-grinder,Butterfly Spectra Mixer Grinder 750W,Butterfly,Small Appliances,Mixer Grinders,/assets/pot_4.png,"Powerful 750W motor with 4 versatile jars for wet grinding, dry grinding, chutney, and juicing.",ABS Body / Stainless Steel Jars,Electric — 230V,2 Years,"750W:4200",4200,3570,5
pigeon-stainless-dinner-set,Pigeon Stainless Steel Dinner Set 24-Piece,Pigeon,Dinnerware & Serving,Plate Sets,/assets/pot_7.png,"Complete 24-piece dinner set in mirror-finish stainless steel — perfect for a family of six.",Stainless Steel,Dishwasher Safe,1 Year,"24-Piece:2800",2800,0,10
prestige-electric-rice-cooker,Prestige Delight Electric Rice Cooker,Prestige,Small Appliances,Electric Cookers,/assets/pot_1.png,"1.8L electric rice cooker with cool-touch handles and detachable power cord for safety.",Aluminium Inner Pot,Electric — 230V,2 Years,"1L:1650|1.8L:2100",1650,0,12
hawkins-hevibase-saucepan,Hawkins Hevibase Saucepan with Lid,Hawkins,Cookware & Bakeware,Traditional Utensils,/assets/pot_6.png,"Extra-thick 4.88mm aluminium base saucepan for even cooking — ideal for milk, sauces, and gravies.",Aluminium,Gas Top,2 Years,"1.5L:780|2L:950|3L:1200",780,0,14
butterfly-stainless-idli-maker,Butterfly Stainless Steel Idli Maker,Butterfly,Cookware & Bakeware,Traditional Utensils,/assets/pot_4.png,"4-plate idli maker that produces 16 soft idlis at once — a South Indian kitchen staple.",Stainless Steel,Gas Top,1 Year,"4-Plate:650",650,553,18
pigeon-handy-chopper,Pigeon Handy String-Pull Chopper,Pigeon,Kitchen Utensils & Gadgets,Choppers & Slicers,/assets/pot_7.png,"3-blade pull-string chopper for quick vegetable and fruit chopping without electricity.",ABS / Stainless Steel Blades,Manual,6 Months,"Large:350",350,298,30
prestige-omega-appachatty,Prestige Omega Select Appachatty,Prestige,Cookware & Bakeware,Traditional Utensils,/assets/pot_3.png,"Non-stick appam pan with the perfect curvature for fluffy appams every time.",Aluminium with Non-Stick Coating,Gas Top,2 Years,"Standard:1100",1100,0,9
hawkins-stainless-patila,Hawkins Tri-Ply Stainless Steel Patila,Hawkins,Cookware & Bakeware,Traditional Utensils,/assets/pot_6.png,"Deep patila with tri-ply construction for even heating — perfect for boiling, making dal, and stock.",Tri-Ply Stainless Steel,Induction & Gas Top,3 Years,"3L:2200|5L:2800",2200,1980,7
butterfly-smart-induction,Butterfly Smart Plus Induction Cooktop,Butterfly,Small Appliances,Induction Cooktops,/assets/pot_4.png,"1800W feather-touch induction cooktop with 7 preset menus and auto shut-off.",Crystalline Glass Top,Electric — 230V,1 Year,"1800W:2800",2800,2380,8
pigeon-masala-rack,Pigeon Stainless Steel Masala Rack,Pigeon,Storage & Organization,Spice Racks,/assets/pot_7.png,"Revolving spice rack with 16 stainless steel containers — keeps your masalas organized and accessible.",Stainless Steel,N/A,1 Year,"16-Jar:1450",1450,0,12
